id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
435;"2025-01-07";"Repeater";2;"FM / C4FM";"";"";7;"SK7REZ";"Blentarp / Romeleåsen";"RV54";145.675;-0.6;79.7;"QRT";55.5411;13.5875;"JO65TM";"";"";"";"";"";1
436;"2015-05-07";"Repeater";70;"FM / C4FM";"";"";7;"SK7EM/R";"Blentarp / Romeleåsen";"RU388";434.85;-2;79.7;"QRV";55.5735;13.5235;"JO65SN";"";"";"";"";"4 Stack Arial";0
437;"2026-03-20";"Repeater";2;"FM / C4FM";"Echolink";519122;7;"SK7RGM";"Olofström / Boafallsbacke";"RV56";145.7;-0.6;67;"QRV";56.2292;14.4583;"JO76FF";215;42;60;"Omni";"AV 1912, Aerial Oy 4x dipoler";1
439;"2022-01-13";"Repeater";2;"FM";"SvxReflector";"";3;"SK3GK/R";"Sandviken / Kungsberget";"RV56";145.7;-0.6;"1750 / 127.3 / DTMF *";"QRV";60.75;16.49;"JP80FS";309;12;20;"Omni";"Diamond X-300";1
440;"2025-10-04";"Repeater";70;"FM / C4FM";"SvxReflector";"";4;"SK4RVN";"Borlänge";"RU384";434.8;-2;85.4;"QRV";60.4014;15.465;"JP70RJ";308;14;40;"Omni";"Aeriel OY 1914";0
441;"2024-03-05";"Repeater";70;"FM";"";"";6;"SK6LK/R";"Borås";"RU384";434.8;-2;114.8;"QRV";57.742;13.005;"JO67MR";"";"";"";"";"4x dipole";0
445;"2025-06-27";"Repeater";2;"FM";"SvxReflector";"";7;"SK7RQX";"Hallandsås";"RV63";145.7875;-0.6;225.7;"QRV";56.3878;12.9624;"JO66LI";240;30;100;"Omni";"9.99 dBi";2
446;"2017-08-02";"Repeater";2;"FM / C4FM";"";"";6;"SM6THE/R";"Skövde";"RV55";145.6875;-0.6;114.8;"QRV";58.4085;13.9304;"JO68XJ";131;10;100;"Omni";"2 stack Aerial Oy";0
455;"2017-12-26";"Repeater";2;"FM / C4FM";"Wires-X";17084;6;"SM6UXW/R";"Ulricehamn";"RV54";145.675;-0.6;118.8;"QRV";57.8054;13.5072;"JO67ST";"";"";"";"";"";0
456;"2020-06-03";"Repeater";2;"FM / DMR";"";"";6;"SK6DW/R";"Trollhättan";"RV61";145.7625;-0.6;"114.8 / CC 6";"QRV";58.275;12.29;"JO68DG";140;40;30;"NW";"Aerial OY AV1431 (2 stack 7dBi)";0
533;"2020-05-13";"Repeater";70;"FM";"";"";6;"SL6BH/R";"Halmstad";"RU380";434.75;-2;114.8;"QRV";56.6875;12.875;"JO66KQ";50;22;25;90;"Aerial OY AV1914";2
534;"2022-12-19";"Repeater";23;"FM";"";"";7;"SK7CY";"Helsingborg";"RM8";1297.2;-6;1750;"QRT";56.0464;12.6945;"JO66IB";"";"";"";"";"";0
535;"2015-07-09";"Repeater";70;"FM";"";"";7;"SK7IJ/R";"Vetlanda";"RU370";434.625;-2;156.7;"QRV";57.499;15.244;"JO77OL";"";"";25;"";"";0
536;"2023-10-20";"Repeater";2;"FM";"SvxReflector / Echolink";182956;7;"SK7MO/R";"Ljungby";"RV58";145.725;-0.6;"1750 / 94.8 / DTMF 1";"QRV";56.9026;13.946;"JO66XV";182;15;20;"Omni";"2x dipol";2
537;"2025-05-24";"Repeater";70;"FM";"";"";7;"SK7RFH";"Nässjö";"RU388";434.85;-2;"1750 / 156,7 / DTMF 6";"QRV";57.65;14.7;"JO77IP";340;30;60;"Omni";"Aerial OY AV1915-H (2 stack 7dBi)";2
539;"";"Repeater";2;"FM";"";"";7;"SK7RIH";"Oskarshamn";"RV58";145.725;-0.6;1750;"QRV";57.26;16.4;"JO87FG";"";"";"";"";"";0
540;"";"Repeater";70;"FM";"";"";7;"SK7RIH/R";"Oskarshamn";"RU378";434.725;-2;1750;"QRV";57.26;16.4;"JO87EG";"";"";"";"";"";0
541;"";"Repeater";6;"FM";"";"";7;"SK7RIH";"Oskarshamn";"RF91";51.91;-0.6;1750;"QRV";57.26;16.4;"JO87EG";"";"";"";"";"";0
542;"";"Repeater";70;"FM";"";"";7;"SK7RJL/R";"Lund";"RU378";434.725;-2;79.7;"QRV";55.7292;13.2083;"JO65OR";"";"";"";"";"";0
